ROI,Con,Inc
Motor,0.13405263,0.0012247711
Motor,0.958745,0.71518457
Motor,-0.77579457,-0.8245728
Motor,4.2108135,4.9344983
Motor,0.60715944,0.25192946
Motor,0.9821108,1.2469379
Motor,-0.08435524,-0.33246338
Motor,2.3405669,1.9227362
Motor,-0.29038113,0.14171515
Motor,2.9742436,3.4019
Motor,-2.1524394,-2.0298994
Motor,-0.70434296,-0.7958791
Motor,0.33889687,0.8121016
Motor,-0.36812097,-0.47171408
Motor,-1.3332695,-1.0575901
Motor,-1.1586217,-1.5639591
Motor,0.45949617,0.32383722
Motor,3.1891038,3.0554576
Motor,0.36726195,0.5014541
Motor,3.2331424,3.025332
Motor,0.22148913,0.33748576
Motor,0.14999327,0.6479228
Motor,1.1170315,0.88180006
Motor,0.55306983,0.6691496
Motor,-1.8696539,-0.53096956
Motor,1.0598334,0.85097873
Motor,-0.72716475,-1.5807512
Motor,0.572936,0.8683708
Motor,1.1490505,0.41137317
